Fax,Tel,loc2,Manager,loc1,Address
015-2912503,015-2913201,PIETERSBURG,MALEDIMO,PIETERSBURG,LANDDROS MARE ST 46
053-6720076,053-6720076,BRITSTOWN,VACANT,KIMBERLY,LANGSTREET  BRITSTOWN
021-371-7110,021-371-1324,Lentegeur,Achmat Jamie,OVERERG,Lavender & Merrydale Street Lenetegeur
021-934-6588,021-934-6551,Lavistown,Christie Boks,OVERERG,Lavis Centre Lavis Drive Lavistown
043-6852614,043-'6852491,BERLIN,F.F. Breakfast(Acting),EAST LONDON,LEGION STREET BERLIN
015-3553121,015-3553121,LENYENYE,MOGOBOYA M.R,PIETERSBURG,LENYENYE SHOPPING CENTRE
011-910-3471,011-9103471,REIGERPARK,O FRANCH,EAST RAND,LEON FERREIRA DRIVE REIGERPARK 1466
011-866-2152,011-8662151,LEONDALE,LF Noto,EAST VAAL,"LEONDALE SPAR, GOUSBLOM ST, 1401."
018-4652692,018-4653156,JOUBERTON,SELEBOGO SAM,POTCHEFSTROOM,LETURIE
015 583 0318,015 583 0113,Levubu,COLBERT MULAUDZI,THOHOYANDOU,LEVUBU MAIN ROAD
033-3422542,033-3423519,MSUNDUZI,Virginia Lyons,MIDLANDS,"Liberty Midlands Mall, Montrose, Pmb, 3201"
032-4562381,032-4562305,MANDENI,S'bu Mlambo,ZULULAND,Long Road
040-653 1639,040-653 1234/23,ALICE,Heunis H,MIDLANDS,"Longmarket Street, Alice, 5700"
031-7062002,031-7063671,ST WENDOLINS,Busi Mkhwanazi,HIGHWAY,"Lot 121, Extension 126, St Wendolins, 3609"
011-786-4561,011-7864556,BRAMLEY,Peter Mabale,NORTH WEST RAND,"LOUIS BOTHA DRIVE 633, BRAMLEY 2018"
017 - 634 5155,017 - 634 7631,SECUNDA,LEONIE SWARTS,SECUNDA,LOURENS MULLER STR
013-9333761,013-9333761,Ekandustria,Rayneth Crafforf,WITBANK,Lucky 7 Store
011-660-1418,011-6601621,WES-KRUGERSDORP,E. Labuschagne,SOUTH WEST RAND,"LYDRAS KWIK SPAR, RUSTENBURG RD WES-KRUGERSDORP 1742"
011-882-0674,011-8820674,LYNDHURST,Maureen Koma,NORTH WEST RAND,"LYNDHURST SPAR, C/O PRETORIA & DROME STREETS 2106"
042-2940457,042-2940457,ST FRANCIS BAY,Labuschagne J J,PORT ELIZABETH,"Lyne Rd, St Francis Bay"
045-9311904,045-9311039,ELLIOT,L.S. MOKHESI,UMTATA,MACLEAR ST
047-5323535,047-5324396/7,MADEIRA,N.FIHLANI,UMTATA,MADEIRA ST
018-648 1087,018-6481054,BURHMANSDRIF,DIMAKATSO NGABANE,VRYBURG,MAFIKENG ROAD
014 5771657,014 5771248,Vlakdrif,AGNES MOTLHAKO,RUSTENBURG,MAGALIES / KOSTER ROAD
053 - 4710156,053-4710141,MAGOGONG,JULIA MOREMANE,VRYBURG,MAGOGONG POST OFFICE
014 5060504,014 5060505,Rhenosterkraal,REFILOE NTSHWAGONG,RUSTENBURG,MAGONG VILLAGE
011-342-3753,011-9821413,DUBE,L. Baloyi,SOUTH WEST RAND,MAHALEFELE ST 2224 DUBE 1852
018 2944612,018 2944612,KOCKSPARK,PETRO HERBST,POTCHEFSTROOM,MAHERRY STREET 60
041-5042731,041-5836492,UPE POST OFFICE,Matai L.,PORT ELIZABETH,Mail Room UPE
011-905-2498,011-9056434/670,KWENZEKILE,TB Mashishi,EAST VAAL,MAILE ST MONISE KATLEHONG 1832
011-316-4455,011-3161340,OLIFANTSFONTEIN,Thomas Mathibako,NORTH WEST RAND,MAIN RD 64 OLIFANTSFONTEIN 1665
043-7412625,043-7411240,AMALINDA,M.E. Rune,EAST LONDON,MAIN RD AMALINDA
-,039-7575396,CEDARVILLE,Nopiwe Ntutuka,MIDLANDS,"Main Rd, Cedarville, 4720"
021-4471250,021-4471205/6,Mowbray,Phillip Petersen,PENINSULA,"MAIN RD, SHELL BUILDING, MOWBRAY, 7700"
035-5920036,035-5920036,KWANGWANASE,Nkululeko Dlamini,ZULULAND,Main Road
035-832007,035-832007,CEZA,Petros Khanyile,ZULULAND,Main Road
015-3120026,015-3127214,NWAMITWA,MASHELE SG,PIETERSBURG,MAIN ROAD
015-6180308,015-6180308,THOLONGWE,MUAMBAZI N,PIETERSBURG,MAIN ROAD
014-7671580,014-7671104,Tomburke,Vacant,POTGIETERSRUS,Main Road Across NTK/Police station
021-954-5337,021-954-5063,Delft,Eric Dirkse,OVERERG,Main Road Delft
013-2148632,013-2147018,Driekop,Vacant,NELSPRUIT,Main road Driekop
039-3181701,039-3181701,GAMALAKHE,Goodman Mkhungo,HIGHWAY,Main Road Gamalakhe
014 5723706,014 5723000,Marikana,NORIA MAGOMARELE,RUSTENBURG,MAIN ROAD MARIKANA
013-7789541,013-7789541,Matsulu,Vacant,NELSPRUIT,Main Road Matsulu
015-2660308,015-2660009,BOYNE,MATHOBELA,PIETERSBURG,MAIN ROAD NEXT TO MORIA HEAD QUARTERS
013-2961285,013-2961035,Pullenshope,Hettie Du Plesssis,WITBANK,Main Road Pullenshope
040-6543661,040-6543920,ZWELITSHA,I. Alberts (Acting),EAST LONDON,"MAIN ROAD, 2958, ZONE 5, ZWELITSHA"
,051-6110027,BLIKANA,VACANT,MIDLANDS,"Main Road, Blikana, 9777"
021-7943986,021-7945796,Constantia,Beulah Stevens,PENINSULA,"MAIN ROAD, CONSTANTIA, 7800"
021-7901791,021-7901740,Hout Bay,Kevin Ross,PENINSULA,"MAIN ROAD, HOUT BAY, 7800"
015-3952126,015-395 2153,MOOKETSI,MATHOLE MS,PIETERSBURG,"MAIN ROAD, OPPOSITE RAILWAY STATION"
,015-2678262,SOLOMONDALE,MORAKA KF,PIETERSBURG,"MAIN ROAD, SEBAYENG SHOPPING COMPLEX"
017 - 773 1766,017 - 773 0036,BALFOUR,ELIZE VAN JAARSVELD,SECUNDA,MAIN STR
017 - 843 3167,017 - 843 1200,CAROLINA,BEN ZULU,SECUNDA,MAIN STR
017 - 881 3068,017 - 881 3001,MPULUZI,REUBEN TSHABALALA,SECUNDA,MAIN STR
017 - 887 0004,017 - 887 0004,DUNDONALD,THOKOZILE THABETHE,SECUNDA,MAIN STR
017 - 778 0019,017 - 778 0019,GREYLINGSTAD,DOCTOR SIMELANE,SECUNDA,MAIN STR 502
027-6621134,027-6621134,LOERIESFONTEIN,Vacant,UPINGTON,Main str.
053-3833003,053-3833003,VANWYKSVLEI,Vacant,UPINGTON,Main str.
013-9410113,013-9767407,Babethu,Vacant,WITBANK,Main Street
032-4812026,032-4812026,MAPUMULO,Sifisu Ntuli,ZULULAND,Main Street
035-5721017,035-5721017,JOZINI,Octavia Mkhize,ZULULAND,Main Street
035-5910006,035-5910006,INGWAVUMA,Gloria Ntshangase,ZULULAND,Main Street
035-8330305,035-8330010,NKANDLA,Moses Ndabandaba,ZULULAND,Main Street
035-8381055,035-8381055,HLABISA,Bongi Sithole,ZULULAND,Main Street
035-8730202,035-8730202,MAHLABATINI,Sam Mbhele,ZULULAND,Main Street
,047-5387500,BITYI,N.S.BOOI,UMTATA,MAIN STREET
,047-5470003,CLARKEBURY,VACANT,UMTATA,MAIN STREET
,047-5489805,COGHLAN,VACANT,UMTATA,MAIN STREET
015-2210086,015-2210001,LONSDALE,RAPUDI NJ,PIETERSBURG,MAIN STREET
015-6220123,015-6220123,APEL,MPHOKA KD,PIETERSBURG,MAIN STREET
039-2520940,039-2520157,FLAGSTAFF,L.G.MKETO,UMTATA,MAIN STREET
047-5730025,047-5731006,MQANDULI,VACANT,UMTATA,MAIN STREET
022 9131568,022 9131200,Piketberg,Martie Conradie,WEST COAST,MAIN STREET 36
047-8740019,047-8740040,COFIMVABA,G.M. Soldati,EAST LONDON,MAIN STREET COFIMVABA
017-8830302,017-8830106,Elukwatini,Yvonne Nkosi,NELSPRUIT,Main Street Elukwatini
013-7671138,013-7671138,Graskop,Vacant,NELSPRUIT,Main Street Graskop
013-7750205,013-7750024,Hluvukani,Dorcus Namane,NELSPRUIT,Main Street Hluvukani
013-2648238,013-2648200,Nebo,Leah Makola,WITBANK,Main Street Magistrate Complex
013-7900310,013-7900126,Malelane,Cleopas Motha,NELSPRUIT,Main Street Malelane
013-7642211,013-7642211,Sabie,Joseph Vilane,NELSPRUIT,Main Street Sabie
047-4880018,047-4880001,TSOMO,D.N. Nonxuba (Acting),EAST LONDON,MAIN STREET TSOMO
028-8401350,028-8401450,Villiersdorp,Vacant,OVERERG,Main Street Villiersdorp
047-4991027,047-4991020,WILLOWVALE,A.G. Yose (Acting),EAST LONDON,MAIN STREET WILLOWVALE
040-864 9289,040-864 9289,BALFOUR,VACANT,MIDLANDS,"Main Street, Balfour, 5740"
-,033-2344557,BALGOWAN,Gillian Nel,MIDLANDS,"Main Street, Balgowan, 3275"
040-656 3151,040-656 3151,DEBE NEK,Makongolo (Ms) N.M,MIDLANDS,"Main Street, Debe Nek, 5604"
042-2840210,042-2840239,HANKEY,Claassen E,PORT ELIZABETH,"Main Street, Hankey"
,05552-ask for (,HERSCHEL,VACANT,MIDLANDS,"Main Street, Herschel, 9756"
040-658 0421,040-658 0209,KEISKAMMAHOEK,Leonard C.C,MIDLANDS,"Main Street, Keiskammahoek, 5670"
-,033-4441177,KRANSKOP,Mandy Stevenson,MIDLANDS,"Main Street, Kranskop, 3268"
048-881 4222,048-881 4222,MICHAUSDAL,rotate from Cradock,MIDLANDS,"Main Street, Michausdal, 5884"
,040-657 3001,MIDDLEDRIFT,VACANT,MIDLANDS,"Main Street, Middledrift, 5685"
015-6620051,015-6620022,GOMPIES,MONENE MJ,PIETERSBURG,"MAIN STREET, OPPOSITE POLICE STATION"
039-2600021,039-2600030,STAFFORD'S POST,Mavis Ncangayi,MIDLANDS,"Main Street, Rietvlei Reserve, Stafford's Post, 4686"
036 - 4386301,036 - 4386300,DUKUZA,PATRICK MAKHAZA,NORTHERN NATAL,MAINROAD DUKUZA
034 - 2124147,034 - 6621005,POMEROY,PAULOS MGAGA,NORTHERN NATAL,MAINROAD POMEROY
034 - 4930029,033 - 4930016,TUGELA FERRY,VIKA MBATHA,NORTHERN NATAL,MAINSTREET TUGELA FERRY
036 - 3541901,036 - 3541161,WEENEN,GOODNESS SIBEKO,NORTHERN NATAL,MAINSTREET WEENEN
043-7481074,043-7482007,BEACON BAY,N.D.P. Sejosing,EAST LONDON,MAJOR SQUARE 26 BEACON BAY
014 5582117,014 5582117,Chaneng,VACANT,RUSTENBURG,MAKGAKGANA SECTION
021-361-4020,021-361-1112,Khayelitsha,Thabisa James,OVERERG,Makhabeni Road Khayelitsha
043-7614283,043-7611111,MDANTSANE,J.X.Matross,EAST LONDON,MAKINANE STREET MDANTSANE
015 851 0123,015 8511009,Malamulele,HARISON MABASA,THOHOYANDOU,MALAMULELE HOSPITAL STREET
043-7222322,043-7223045,SOUTHERNWOOD,M.C. Kolwapi,EAST LONDON,"MALCOMESS PARK, SOUTHERNWOOD"
016- 989-1718,016- 9891719,BOITUMELO,LJ Khoali,EAST VAAL,"MANDELA SQUARE, OLD POTCH ROAD, EVATON"
057-3881112,057-3881112,RIEBEECKSTAD,MASESI MOTSOANE,BLOEMFONTEIN,MANN STREET
058-7131115,058-7130055,Phuthaditjhaba,Solomon Mokhotla,BETHLEHEM,"Mapoi Street, Phuthaditjhaba"
031-3174355,039-3120111,MARGATE,Robert Bakeberg,HIGHWAY,"Marine Drive, Margate"
057-3982692,057-3982711,ODENDAALSRUS,FRANS MITTON,BLOEMFONTEIN,MARK STREET
046-622 2448,046-622 5138,MARKET SQUARE,Strydom MA,MIDLANDS,"Market Square Mall, Market Square, Grahamstown, 6141"
054-3327977,054-3323021,UPINGTON,Eugene Swartz,UPINGTON,Market str. 34
053-8318322,053-8315100,KIMBERLEY,ANDREWSIA,KIMBERLY,MARKETSQUARE  KIMBERLEY
051-8531050,051-8532222,BULTFONTEIN,CYNTHIA THOMAS,KIMBERLY,MARKSTREET  BULTFONTEIN
044-6911771,044-6911308,Mossel Bay,Vacant,SOUTH CAPE,Marsh Street Mosselby
015 8123396,015 8514902,Masingita,LOCARD MABASA,THOHOYANDOU,Masingita Complex
057-3972002,057-3972002,MOTSETHABONG,LUCKY MEKWA,BLOEMFONTEIN,MASOLE STREET
015-5270019,015-5271083,DWARSRIVER,FAMU M W,PIETERSBURG,"MASUBELE COMPLEX, MAIN ROAD"
021-868 3877,021-868 3877,Mbekweni,Precious Foca,WEST COAST,MATAKATA ST
013-7086806,013-7086123,Mkhuhlu,Vacant,NELSPRUIT,Matikwane Street Mkhuhlu
027 2171022,027 2171022,Lutzville,Vacancy,WEST COAST,MATZIKAMA STREET
015-2240097,015-2240031,MASHASHANE,MANAMELA LS,PIETERSBURG,"MAUNE VILLAGE, OPPOSITE CLINIC"
033-3942926,033-3421903,MAYOR'S WALK,Chris Parasuraman,MIDLANDS,"Mayor's Walk Mews, Mayor's Walk, 3201"
,041-4599008,GOVAN MBEKI,Botya N E,PORT ELIZABETH,Mbeki Rd
057-4512444,057-4512444,ALLANRIDGE,JACK MAARMAN,BLOEMFONTEIN,MC LAUGHLANSTREET
043-6422005,043-6423434,KING WILLIAMS TOWN,P.M.Mbiza,EAST LONDON,MCLEAN SQUARE KING WILLIAM'S TOWN
012-5600093,012-5600093,MEDUNSA,RM Moche,PRETORIA,Medunsa Campus
041-4546532,041-45-45228,NEW BRIGHTON,Mcoseli E X,PORT ELIZABETH,"Mendi Rd, New Brighton"
056-6310076,056-6310076,Edenville,Nthombi Thabethe,BETHLEHEM,"Mentz Street, Edenville"
015-7916053,015-7916053,MOETLADIMO,MOKABELA PN,PIETERSBURG,METZ SHOPPING CENTRE
023-4152620,023-4152620,Nieuveld,N Nyoka,SOUTH CAPE,Meyerst Nieuveld
,039-2523467,MFUNDISWENI,VACANT,UMTATA,MFUNDISWENI LOC
011-938-1541,011-938 4267,PIMVILLE,D.Orland,SOUTH WEST RAND,MGAJI ST 959-7 ZONEPIMVILLE 1808
049-9350014,049-8350014,STEYTLERVILLE,Mapoe L,PORT ELIZABETH,"Middleton Street, Steytlerville"
044-8782520,044-8782520,Pacaltsdorp,M L McPherson,SOUTH CAPE,Missionst Pacaltsdorp
014-7870469,014-7870102,Emlanjeni,Vacant,POTGIETERSRUS,Mlanje hostel
011-424-8682,011-4242910,DAVEYTON,E JACOBS,EAST RAND,MOCKE ST 9152 DAVEYTON 1507
015-3110008,015-3110008,MODJADJI,MAFIKENG,PIETERSBURG,MODJADJI VILLAGE
013-2667471,013-2867020,Moganyaka,Christinah Mashego,WITBANK,Moganyaka Main street
014 5556442,014 5556082,Mogwase,MARTHA MAKWATI,RUSTENBURG,MOGWASE SHOPPING COMPLEX
058-7210235,058-7210235,Dikgakeng,Elsina Lentsa-Zulu,BETHLEHEM,Mokoena Complex
013-7775142,013-7775142,Shatale,Vacant,NELSPRUIT,"Molokomme Shopping Centre, Shatale"
045-971 0265,045-971 0043,BARKLEY-OOS,Sintonga N.R,MIDLANDS,"Molteno Street, Barkly East, 9786"
021-595 3523,021-595 3052,N1 City,Deon Everts,WEST COAST,"MONTE VISTA BOULEVARD, N1 CITY MALL"
011-954-3974,011-9541387,PAARDEKRAAL,D. DeBryune,SOUTH WEST RAND,"MONUMENT SHOPRITE, VOORTREKKERS RD 245 PAARDEKRAAL 1739"
011-935-5916,011-9351000,ORLANDO,D. Riddles,SOUTH WEST RAND,MOOKI ST 6515 ORLANDO 1803
058-7891134,058-7891134,Mokodumela,Nat Botsane,BETHLEHEM,Mopeli Complex
012 7021768,012 7021768,Morula,DOMINIC BOCHELE,RUSTENBURG,MORULA SHOPPING CENTRE
014 7092433,012 7092416,Mothotlung,MOSES SEBOTSANE,RUSTENBURG,MOTHOTLUNG STAND NO. 1931
015-5715001,015-5712642,Rebone,Vacant,POTGIETERSRUS,Motlake Street
018 3651727,018 3651727,MOTSWEDI,MOSIANE KM,POTCHEFSTROOM,MOTSWEDI VILLAGE
014 2051048,012 2051048,Broederstroom,ROCHELLE TIEMENSMA,RUSTENBURG,MOUNTAIN LAKE SHOPPING CENTRE OBERON ROAD
057-3555547,057-3552044,MANNY'S,MOHLOMI NCHECHE,BLOEMFONTEIN,"MULTISAVE,179 POWER ROAD WELKOM"
014 2521113,012 2523121,Brits,STEVEN MODISE,RUSTENBURG,MURRAY AVE 18
021-883-3589,021-883-3589,Matieland,Frank Geduld,OVERERG,Murray Street Langenhoven Stellenbosch
011-810-2307,011-8102328,DUDUZA,T MOTSEPE,EAST RAND,NALA ST 804 DUDUZA 1494
015-7693300,015-7691100,NAMAKGALE,MKANSI,PIETERSBURG,NAMAKGALE TOWNSHIP
027-7123500,027-7181330,SPRINGBOK,Jaco Vermeulen,UPINGTON,Namakwa str
027-7218685,027-7218685,STEINKOPF,Vacant,UPINGTON,Namakwa str
051-4331518,051-4331518,EXTONWEG,SUZETTE OOSTHUIZEN,BLOEMFONTEIN,"NAVAL HILL SPAR, ANDRIES PRETORIUS STR"
047-5490157,047-5490098,NCORA,N. Sogaise (Acting),EAST LONDON,NCORA VILLAGE NCORA
047-4940229,047-4940216,NDABAKAZI,K.E. Mzamane (Acting),EAST LONDON,NDABAKAZI VILLAGE NDABAKAZI
012-3253095,012-3285994,ARCADIA,Acting Johan Venter,PRETORIA,Nedbank Plaza Street Arcadia
033-3422374,033-3941991,SCOTTSVILLE,Ahmed Khan,MIDLANDS,"Nedbank Plaza, Durban Rd, Scottsville, 3201"
012-7243847,012-7243847,Skilpadfontein RPO,Abel Ramafoko,POTGIETERSRUS,Neuhale Sec Kutsong
,047-5459955,ST CUTHBERT'S,VACANT,UMTATA,NGCOLOSI LOC
013-7344322,013-7344201,Ngodwana,Marry -Ann Neethling,NELSPRUIT,Ngodwana Shopping Mall
013-2421738,013-2421794,Mhluzi,Vacant,WITBANK,Ngwako &Lekola Building
039-8350616,039-8350014,HIGHFLATS,Floyd Maphanga,MIDLANDS,"Nina Rd, Highflats, 3306"
012-3757684,012-3756708,SAULSVILLE,WP Magagula,PRETORIA,No 1 Malebye Street Saulsville
011-926-3156,011-9263127,TEMBISA NORTH,F PITJENG,EAST RAND,NO 1257 RUTH FIRST HOSPITAL VIEW SHOPPING CENTRE
015 515 0303,015 515 0303,Tshilwavhusiku,PATRIA MOHALE,THOHOYANDOU,No street address
015 5150611,015 515 0611,Kutama,ANNA MATIA,THOHOYANDOU,No street address
015 5751202,015 575 1200,Alldays,HENNA NEL,THOHOYANDOU,No street address
015 581 6043,015 581 6015,Tshakhuma,ALFRED MULAUDZI,THOHOYANDOU,No street address
015 584 1405,015 584 1403,Munzhedzi,ELIZABETH NEMBABULA,THOHOYANDOU,No street address
015 593 0536,015 592 0114,Raditshaba,OLIVE KWINDA,THOHOYANDOU,No street address
015 853 0496,015 853 0495,Tshaulu,COLBERT NELUFULE,THOHOYANDOU,No street address
015 853 1616,015 853 1410,Saselamani,CHRISTOPHER MASAU,THOHOYANDOU,No street address
015 873 0136,015 873 0271,Mashau,JOYCE THARAGA,THOHOYANDOU,No street address
015 873 0360,015 873 0025,Vongani,ENOCK MATHEBULA,THOHOYANDOU,No street address
015 873 2495,015 873 0064,Mashamba,ELONE MASHAMBA,THOHOYANDOU,No street address
015 961 5400,015 961 4002,Vuwani,LAWRENCE MATSHONYONGE,THOHOYANDOU,No street address
015 963 2252,015 963 2252,Vhufuli,RICHARD RAMURAFHI,THOHOYANDOU,No street address
015 965 2003,015 965 2004,Lwamondo,MARY MATSHIVHA,THOHOYANDOU,No street address
015 966 5799,015 966 5794,Tshikondeni,SHANDRACK PHURAVDHATHU,THOHOYANDOU,No street address
015 967 2005,015 967 2015,Mutale,RICHARD PHUNGO,THOHOYANDOU,No street address
015 968 292,015 968 0291,Makonde,EVEANGELINAH MUGWENA,THOHOYANDOU,No street address
015 9704760,015 9704054,Dzanani,MMBONENIMALALAMAVHI,THOHOYANDOU,No street address
015 9730017,015 9730017,Vhulaudzi,LOBARD MABADA,THOHOYANDOU,No street address
015 9730164,015 9730164,Nzhelele,SIMON MAKATU,THOHOYANDOU,No street address
015 975 1041,015 975 1040,Mulima,THOMAS MANOBI,THOHOYANDOU,No street address
015 976 2039,015 9762002,Masia,PATRICK NELUKAU,THOHOYANDOU,No street address
018-332 2674,018-3322761,MAREETSANE,CHRISTA REYNEKE,VRYBURG,NO STREET ADDRESS
018-334 3136,018-3342084,ATAMALANG,"ABRAM RAMOKHOASE,",VRYBURG,NO STREET ADDRESS
053-337 9109,018-3379192,MADIBOGO,VACANT,VRYBURG,NO STREET ADDRESS
053-761 1019,053-7610036,MOROKWENG,VACANT,VRYBURG,NO STREET ADDRESS
053-773 1754,053-7751125,HEUNAAR,VACANT,VRYBURG,NO STREET ADDRESS
053-933 0038,053-9330010,TOSCA,JOSEPH THOLE,VRYBURG,NO STREET ADDRESS
053-9887233,053-9987080,TLHAKGAMENG,VACANT,VRYBURG,NO STREET ADDRESS
053-994 1545,053-9941704,TAUNG,ROSY MADIBE,VRYBURG,NO STREET ADDRESS
053-994 1720,053-9941680,TAUNG STATION,DOROTHY BAOTLWAENG,VRYBURG,NO STREET ADDRESS
053-995 1776,053-9951344,PUDIMOE,RACHEL MOENG,VRYBURG,NO STREET ADDRESS
053-998 3314,053-9983961,GANYESA,JACOB LETSWITI,VRYBURG,NO STREET ADDRESS
NO FAX,018 – 331 0102,KRAAIPAN,GABRIEL KHUKWANE,VRYBURG,NO STREET ADDRESS
NO FAX,053-9942606,NORLIM,ERNEST SMOUS,VRYBURG,NO STREET ADDRESS
053-7731322,053-7731757,MOTHIBASTAT,Florence Molusi,UPINGTON,no street adres
053-7741779,053-7741793,BATHLARO,Monica Oliphant,UPINGTON,no street adres
011-660-6548,011-6606524,MUNSIEVILLE,L. Nkomo,SOUTH WEST RAND,"NOBELA'S CENTRE, MOGALE STR., MUNSIEVILLE"
011-954-2410,011-9542413,NOORDHEUWEL,K. Fourie,SOUTH WEST RAND,"NOORDHEUWEL SHOPPING CENTRE, ROBERT BROOM DRIVE"
051-4332782,051-4332789,ARBORETUM,LIANA COETZEE,BLOEMFONTEIN,NOORDSTAD SHOPPING CENTRE EEUFEESRD
011-391-6999,011-3916998,NORKEMPARK,S NJAPHA,EAST RAND,NORKEM PARK PHARMACY PONGOLA RIVIER DR NORKEM PARK 1631
011-826-4048,011-8234669,OOS-RAND,A RATHBONE,EAST RAND,NORTH RAND RD BOKSBURG 1462
043-8311037,043-8311023,KOMGA,N.P. Mbambisa (Acting),EAST LONDON,NORTH STREET KOMGA
011-849-4062,011-8494060,NORTHMEAD,B DIBETSO,EAST RAND,"NORTHMEAD SQUARE, O'REILLY MERRY STREET, NORTHMEAD"
,047-5686709,NTLAZA,VACANT,UMTATA,NTLAZA VILLAGE
011-738-1402,011-7381402,TSAKANE,F MAHLANGU,EAST RAND,NZIMA ST TSAKANE 1548
047-5420018,047-5420245,TSOLO,J.M.NIKIWE,UMTATA,O'CONNER ST
011-827-3102,011-8271807,ELSBURG,AC Wiggill,EAST VAAL,OK FOODS VOORTREKKER ST ELSBURG 1407
021-4033809,021-4032179,Parliament,Elmarie Smith,PENINSULA,"OLD ASSEMBLY ENTRANCE, PARLIAMENT BLDG, CAPE TOWN, 8001"
033-2666577,033-2636717,NOTTINGHAM ROAD,Nakesh Gunirajh,MIDLANDS,"Old Main Rd, Nottingham Rd, 3280"
012-7220354,012-7220030,Pienaarsrivier,Vacant,POTGIETERSRUS,Old Main Road
014-7330765,014-7330603,Radium,Vacant,POTGIETERSRUS,Old Main Road
032-947 0635,032-947 0635,UMHLALI,Sharon Mothiram,PORT NATAL,"Old Main Road, Sugar Village, Umhlali, 4390"
,051-5261121,BLOEMSPRUIT,SUZETTE V.D WESTHUIZEN,BLOEMFONTEIN,OLD THABANCHU ROAD
012-5459872,012-5450270,PYRAMID,D Pietersen,PRETORIA,Old Warmbath Road
053-9962310,053-9961782,PAMPIERSTAD,FANNYHALENYANE,KIMBERLY,OLDSHOPPING  COMPLEX
028 3161180,028 3161180,Onrusrivier(RPO),Marina Van Eeden,OVERERG,Onrusrivier 7 eleven Cnr Covermont & Main Road Onrusrivier
011-768-0269,011-7681437,WESTGATE,M . Motsoeneng,SOUTH WEST RAND,ONTDEKKERS RD HORISONVIEW 1724
011-850-0518,011-8500518,ORANGE FARM,TE Mlangeni,EAST VAAL,"ORANGE FARM SHOPPING CENTRE, STAND NO 7648 , EXT 3 1805"
027-8311515,027-8311515,ALEXANDERBAY,Vacant,UPINGTON,Oranje Road
039-3112222,039-3112222,PORT EDWARD,Patience Ngiba,HIGHWAY,"Owen Ellis Drive, Port Edward"
023 3121910,023 3123160,Ceres,Wilhelm Oosthuizen,WEST COAST,OWEN STR 20
011-792-6022,011-7921525,FERNDALE,Martha Strauss,NORTH WEST RAND,OXFORD DRIVE FERNDALE 2194
033-2940105,032-2940011,OZWATINI,Pumi Nthuli (Acting),MIDLANDS,"Ozwatini, 3242"
015-7932337,015-7932337,Hoedspruit,Charles Themba,NELSPRUIT,"Panther Street, Hoedspruit"
021-981-0923,021-981-1205,Brackenfell,David Cornelius,OVERERG,Paradys Street Brackenfell
017 - 687 0411,017 - 687 1555,KINROSS,LOUISA GILLESPIE,SECUNDA,PARK STR
033-3424133,033-3424124,DORPSPRUIT,Hugo Louw,MIDLANDS,"Parklane Centre, Commercial Rd, Pietermaritzburg, 3201"
046-624 5361,046-624 1414,PORT ALFRED,Van Rooyen TJ,MIDLANDS,"Pascoe Crescent, Port Alfred, 6170"
051-5222911,051-5222911,UNIVERSITAS,JOB FRANCIS,BLOEMFONTEIN,PAUL KRUGER AVENUE SPAR CENTRE
018 4693222,018 4693222,FREEMANVILLE,C V/D WATH,POTCHEFSTROOM,PEPLAR
014 5382410,014 5381134,Zinniaville,DEVY RAMSAMY,RUSTENBURG,PETUNIA AVE
,051-4321603,HEIDEDAL CENTRAL,IRENE MASHIBING,BLOEMFONTEIN,PHAHAMENG LOCATION
014 5655748,014 5655748,Rankunyana,MOLLY MAKGOROGO,RUSTENBURG,PHETOANE SECTION
016 9742945,016 9741014,ZAMDELA,SAM MABUYA,POTCHEFSTROOM,PHOFUNG STREET
056-2141673,056-2141443,Lengau,-,BETHLEHEM,"Phomolong, Kroonstad"
013-2981052,013-2981008,Glen Cowie,Rudolph Ndhlovu,WITBANK,Phonyuga Super Market
021-4344136,021-4340535,Rhine Road (RPO),J de Kock,PENINSULA,"PICK 'N PAY CENTRE, MAIN RD, RHINE ROAD, 8001"
043-7361975,043-7361975,GREENFIELDS,T.D. Lockem,EAST LONDON,"PICK 'N PAY CENTRE, MAIN ROAD, GREENFIELDS"
021-7031680,021-7042209,Ottery,Didi Ari,PENINSULA,"PICK 'N PAY CENTRE, OTTERY STREET, 7800"
016-985-2458,016- 9852457,BEDWORTH PARK,ND Shaibo,EAST VAAL,"PICK 'N PAY, CASSANDRA ST, BEDWORTH PARK 1940"
031-9041514,031-9041514,UMBOGINTWINI,Monica Mthwane,HIGHWAY,"Pick & Pay Centre, Prince Street, Athlone Park"
011-867-5790,011-8675759,BRACKEN GARDENS,MD Tlhoaele,EAST VAAL,"PICK + PAY FAMILY, HENNIE ALBERTS ST, BRACKENDOWNS"
013-7344400,013-7344779,Rayton,Vacant,WITBANK,Pick A Pay Complex
011-913-0720,011-9130622,SUNWARD PARK,H COETZER,EAST RAND,"PICK AND PAY , KINGFISHER ST SUNWARDPARK 1470"
041-9925181,041-9925181,MOSELVILLE,Potgieter EM,PORT ELIZABETH,"Pick n Pay Graaff-Reinet Rd, Uitenhage"
045-8392836,045-8394821,KOMANI,H. De Beer (Acting),EAST LONDON,"PICK'N PAY MALL, BREWERY ROAD, KOMANI"
